"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale","numberOfFollowers","previousInterestRank"
"Abacavir Sulfate, Lamivudine And Zidovudine",0.35,"Therapy","[u'Abacavir Sulfate; Lamivudine; Zidovudine']","2010-12-13T00:00:00",FALSE,0,1000
"Trizivir",0.35,"Therapy","[u'Abacavir Sulfate; Lamivudine; Zidovudine']","2010-12-13T00:00:00",FALSE,0,1000
"Epzicom",0.35,"Therapy","[u'Abacavir Sulfate; Lamivudine']","2010-12-13T00:00:00",FALSE,0,1000
"Abacavir",0.35,"Therapy","[u'Abacavir Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Ziagen",0.35,"Therapy","[u'Abacavir Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Plenaxis",0.35,"Therapy","[u'Abarelix']","2010-12-13T00:00:00",FALSE,0,1000
"Orencia",0.35,"Therapy","[u'Abatacept']","2010-12-13T00:00:00",FALSE,0,1000
"Reopro",0.35,"Therapy","[u'Abciximab']","2010-12-13T00:00:00",FALSE,0,1000
"Dysport",0.35,"Therapy","[u'Abobotulinumtoxina']","2010-12-13T00:00:00",FALSE,0,1000
"Campral",0.35,"Therapy","[u'Acamprosate Calcium']","2010-12-13T00:00:00",FALSE,0,1000
"Precose",0.35,"Therapy","[u'Acarbose']","2010-12-13T00:00:00",FALSE,0,1000
"Sectral",0.35,"Therapy","[u'Acebutolol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Acetaminophen, Aspirin And Caffeine",0.35,"Therapy","[u'Acetaminophen; Aspirin; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Excedrin (Migraine)",0.35,"Therapy","[u'Acetaminophen; Aspirin; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Acetaminophen, Aspirin, And Codeine Phosphate",0.35,"Therapy","[u'Acetaminophen; Aspirin; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Codeine, Aspirin, Apap Formula No. 2",0.35,"Therapy","[u'Acetaminophen; Aspirin; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Codeine, Aspirin, Apap Formula No. 3",0.35,"Therapy","[u'Acetaminophen; Aspirin; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Codeine, Aspirin, Apap Formula No. 4",0.35,"Therapy","[u'Acetaminophen; Aspirin; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
