"category","thresholdSensitivity","categoryType","feedExpirationDate","feedIsStale","numberOfFollowers","previousInterestRank"
"Allergies",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alzheimers",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Arthritis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Asthma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cholesterol",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Chronic Pain",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Crohn's Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Depression",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Diabetes Type 1",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Diabetes Type 2",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hearing Loss",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hepatitis C",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Liver",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Lungs",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Menopause",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Migraine",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Osteoporosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Rheumatoid Arthritis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Sleep Limitations",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Thyroid",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Urology",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Abdominal Aortic Aneurysm",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Achalasia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Achondroplasia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Acne",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Actinic Keratosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Addison Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alcohol Abuse and Alcoholism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alkaptonuria",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Allergic Cascade",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Allergy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alopecia Areata",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alpha 1 Antitrypsin Deficiency",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alpha Thalassemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Alzheimer's Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Amyloidosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Amyotrophic Lateral Sclerosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Anaphylaxis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Anemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Angina",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Ankle Pain and Tendinitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Ankylosing Spondylitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Anorexia Nervosa",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Anthrax",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Antiemetics",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Antiphospholipid Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Anxiety",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Aortic Stenosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Appendicitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Arthritis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
