"condition","category1","category2","category3"
"Allergies","Allergies",,
"Alzheimers","Alzheimers",,
"Arthritis","Arthritis",,
"Asthma","Asthma",,
"Cholesterol","Cholesterol",,
"Chronic Pain","Chronic Pain",,
"Crohn's Disease","Crohn's Disease",,
"Depression","Depression",,
"Diabetes Type 1","Diabetes Type 1",,
"Diabetes Type 2","Diabetes Type 2",,
"Hearing Loss","Hearing Loss",,
"Hepatitis C","Hepatitis C",,
"High Blood Pressure","High Blood Pressure","Hypertension",
"Liver","Liver",,
"Lungs","Lungs",,
"Menopause","Menopause",,
"Migraine","Migraine",,
"Osteoporosis","Osteoporosis",,
"Rheumatoid Arthritis","Rheumatoid Arthritis",,
"Sleep Limitations","Sleep Limitations",,
"Thyroid","Thyroid",,
"Urology","Urology",,
"Abdominal Aortic Aneurysm","Abdominal Aortic Aneurysm",,
"Achalasia","Achalasia",,
"Achondroplasia","Achondroplasia",,
"Acne","Acne",,
"Actinic Keratosis","Actinic Keratosis",,
"Addison Disease","Addison Disease",,
"Alcohol Abuse and Alcoholism","Alcohol Abuse and Alcoholism",,
"Alkaptonuria","Alkaptonuria",,
"Allergic Cascade","Allergic Cascade",,
"Allergy","Allergy",,
"Alopecia Areata","Alopecia Areata",,
"Alpha 1 Antitrypsin Deficiency","Alpha 1 Antitrypsin Deficiency",,
"Alpha Thalassemia","Alpha Thalassemia",,
"Alzheimer's Disease","Alzheimer's Disease",,
"Amyloidosis","Amyloidosis",,
"Amyotrophic Lateral Sclerosis","Amyotrophic Lateral Sclerosis",,
"Anaphylaxis","Anaphylaxis",,
"Anemia","Anemia",,
"Angina","Angina",,
"Ankle Pain and Tendinitis","Ankle Pain and Tendinitis",,
"Ankylosing Spondylitis","Ankylosing Spondylitis",,
"Anorexia Nervosa","Anorexia Nervosa",,
"Anthrax","Anthrax",,
"Antiemetics","Antiemetics",,
"Antiphospholipid Syndrome","Antiphospholipid Syndrome",,
"Anxiety","Anxiety",,
"Aortic Stenosis","Aortic Stenosis",,
"Appendicitis","Appendicitis",,
"Arthritis","Arthritis",,
"Aseptic Necrosis","Aseptic Necrosis",,
"Asthma","Asthma",,
"Atopic Dermatitis","Atopic Dermatitis",,
"Atrial Fibrillation","Atrial Fibrillation",,
"Attention Deficit Hyperactivity Disorder (ADHD)","Attention Deficit Hyperactivity Disorder (ADHD)",,
"Autism","Autism",,
"Bacterial Vaginosis","Bacterial Vaginosis",,
"Baker Cyst","Baker Cyst",,
"Barrett's Esophagus","Barrett's Esophagus",,
"Behcet's Syndrome","Behcet's Syndrome",,
"Benign Prostatic Hyperplasia","Benign Prostatic Hyperplasia",,
"Bernard-Soulier Disease","Bernard-Soulier Disease",,
"Beta Thalassemia","Beta Thalassemia",,
"Biological Therapy","Biological Therapy",,
"Bipolar Disorder","Bipolar Disorder",,
"Bladder Cancer","Bladder Cancer",,
"Boils","Boils",,
"Bone Cancer","Bone Cancer",,
"Botulism","Botulism",,
"Brain Aneurysm","Brain Aneurysm",,
"Brain Tumor","Brain Tumor",,
"Branchial Cyst","Branchial Cyst",,
"Breast Cancer","Breast Cancer",,
"Bruises","Bruises",,
"Bulimia","Bulimia",,
"Bullous Pemphigoid","Bullous Pemphigoid",,
"Bunions","Bunions",,
"Bursitis","Bursitis",,
"Canavan Disease","Canavan Disease",,
"Cancer","Cancer",,
"Canker Sores","Canker Sores",,
"Cataracts","Cataracts",,
"Cauliflower Ear","Cauliflower Ear",,
"Celiac Disease","Celiac Disease",,
"Cerebral Palsy","Cerebral Palsy",,
"Cervical Cancer","Cervical Cancer",,
"Chalazion","Chalazion",,
"Cholesterol","Cholesterol","High Cholesterol",
"Chronic Fatigue Syndrome","Chronic Fatigue Syndrome",,
"COPD","COPD",,
"Chronic Pain","Chronic Pain",,
"Chronic Rhinitis","Chronic Rhinitis",,
"Churg-Strauss Syndrome","Churg-Strauss Syndrome",,
"Cirrhosis","Cirrhosis",,
"Claudication","Claudication",,
"Cleidocranial Dysplasia","Cleidocranial Dysplasia",,
"Clostridium Difficile Colitis","Clostridium Difficile Colitis",,
"Coccydynia","Coccydynia",,
"Colon Cancer","Colon Cancer",,
"Colon Cancer Screening","Colon Cancer Screening",,
"Colon Polyps","Colon Polyps",,
"Congestive Heart Failure","Congestive Heart Failure",,
"Connective Tissue Disease","Connective Tissue Disease",,
"Corns","Corns",,
"Costochondritis and Tietze Syndrome","Costochondritis and Tietze Syndrome",,
"Coxsackie Virus","Coxsackie Virus",,
"Creutzfeldt-Jakob Disease","Creutzfeldt-Jakob Disease",,
"Crohn's Disease","Crohn's Disease",,
"Cushing's Syndrome","Cushing's Syndrome",,
"Cuts, Scrapes and Puncture Wounds","Cuts, Scrapes and Puncture Wounds",,
"Cystic Fibrosis","Cystic Fibrosis",,
"Cystinuria","Cystinuria",,
"De Quervain's Tenosynovitis","De Quervain's Tenosynovitis",,
"Deafness","Deafness",,
"Deep Vein Thrombosis","Deep Vein Thrombosis",,
"Degenerative Disc","Degenerative Disc",,
"Dementia","Dementia",,
"Diabetes Insipidus","Diabetes Insipidus",,
"Diffuse Idiopathic Skeletal Hyperostosis","Diffuse Idiopathic Skeletal Hyperostosis",,
"Diverticulosis","Diverticulosis",,
"Down Syndrome","Down Syndrome",,
"Dupuytren Contracture","Dupuytren Contracture",,
"Dyslexia","Dyslexia",,
"Dyspepsia","Dyspepsia",,
"Dystonia","Dystonia",,
"Eczema","Eczema","Psoriasis",
"Edema","Edema",,
"Ehlers-Danlos Syndrome","Ehlers-Danlos Syndrome",,
"Encephalitis and Meningitis","Encephalitis and Meningitis",,
"Endocarditis","Endocarditis",,
"Endometriosis","Endometriosis",,
"Enteroinvasive E. Coli","Enteroinvasive E. Coli",,
"Eosinophilic Fasciitis","Eosinophilic Fasciitis",,
"Epilepsy","Epilepsy",,
"Erectile Dysfunction","Erectile Dysfunction","Impotence","ED"
"Erythema Nodosum","Erythema Nodosum",,
"Esophageal Cancer","Esophageal Cancer",,
"Essential Mixed Cryoglobulinemia","Essential Mixed Cryoglobulinemia",,
"Eustachian Tube Problems","Eustachian Tube Problems",,
"Exercise and Activity","Exercise and Activity",,
"Fabry's Disease","Fabry's Disease",,
"Fainting","Fainting",,
"Fatty Liver","Fatty Liver",,
"Felty's Syndrome","Felty's Syndrome",,
"Fibrocystic Breast Condition","Fibrocystic Breast Condition",,
"Fibromyalgia","Fibromyalgia",,
