"applicationNumber","productNumber","form","dosage","productMarketStatus","tecCode","isReferenceDrug","treatmentTypeName","activeIngredients","interestCategories","isDrug"
4,4,"Solution/Drops; Ophthalmic",1.00%,"Discontinued",,0,"Paredrine","Hydroxyamphetamine Hydrobromide","treatmentTypeName",TRUE
159,1,"Tablet; Oral","500MG","Discontinued",,0,"Sulfapyridine","Sulfapyridine","Paredrine",TRUE
552,1,"Injectable; Injection","20,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium","Heparin Sodium","Sulfapyridine",TRUE
552,2,"Injectable; Injection","40,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium","Heparin Sodium","Liquaemin Sodium",TRUE
552,3,"Injectable; Injection","5,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium","Heparin Sodium","Liquaemin Sodium",TRUE
552,4,"Injectable; Injection","1,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium","Heparin Sodium","Liquaemin Sodium",TRUE
552,5,"Injectable; Injection","10,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium","Heparin Sodium","Liquaemin Sodium",TRUE
552,7,"Injectable; Injection","100 UNITS/ML","Discontinued",,0,"Liquaemin Lock Flush","Heparin Sodium","Liquaemin Sodium",TRUE
552,8,"Injectable; Injection","1,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Liquaemin Lock Flush",TRUE
552,9,"Injectable; Injection","5,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Heparin Sodium",TRUE
552,10,"Injectable; Injection","10,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Heparin Sodium",TRUE
552,11,"Injectable; Injection","1,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium Preservative Free","Heparin Sodium","Heparin Sodium",TRUE
552,12,"Injectable; Injection","5,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium Preservative Free","Heparin Sodium","Liquaemin Sodium Preservative Free",TRUE
