"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale"
"8-Hour Bayer",,"Therapy","[u'Aspirin']",,
"8-Mop",,"Therapy","[u'Methoxsalen']",,
"A-Hydrocort",,"Therapy","[u'Hydrocortisone Sodium Succinate']",,
"A-Methapred",,"Therapy","[u'Methylprednisolone Sodium Succinate']",,
"A-N Stannous Aggregated Albumin",,"Therapy","[u'Technetium Tc-99M Albumin Aggregated Kit']",,
"A-Poxide",,"Therapy","[u'Chlordiazepoxide Hydrochloride']",,
"A.P.L.",,"Therapy","[u'Gonadotropin, Chorionic']",,
"A/T/S",,"Therapy","[u'Erythromycin']",,
"Abacavir",,"Therapy","[u'Abacavir Sulfate']",,
"Abacavir Sulfate",,"Therapy",,,
"Abacavir Sulfate, Lamivudine And Zidovudine",,"Therapy","[u'Abacavir Sulfate; Lamivudine; Zidovudine']",,
"Abacavir Sulfate; Lamivudine",,"Therapy",,,
"Abelcet",,"Therapy","[u'Amphotericin B']",,
"Abilify",,"Therapy","[u'Aripiprazole']",,
"Abitrexate",,"Therapy","[u'Methotrexate Sodium']",,
"Ablavar",,"Therapy","[u'Gadofosveset Trisodium']",,
"Abraxane",,"Therapy","[u'Paclitaxel']",,
"Abreva",,"Therapy","[u'Docosanol']",,
"Abstral",,"Therapy","[u'Fentanyl']",,
"Acanya",,"Therapy","[u'Benzoyl Peroxide; Clindamycin Phosphate']",,
"Acarbose",,"Therapy",,,
"Accolate",,"Therapy","[u'Zafirlukast']",,
"Accretropin",,"Therapy","[u'Somatropin Recombinant']",,
"Accuneb",,"Therapy","[u'Albuterol Sulfate']",,
"Accupril",,"Therapy","[u'Quinapril Hydrochloride']",,
"Accurbron",,"Therapy","[u'Theophylline']",,
"Accuretic",,"Therapy","[u'Hydrochlorothiazide; Quinapril Hydrochloride']",,
"Accutane",,"Therapy","[u'Isotretinoin']",,
"Acebutolol Hydrochloride",,"Therapy",,,
"Aceon",,"Therapy","[u'Perindopril Erbumine']",,
"Acephen",,"Therapy","[u'Acetaminophen']",,
"Acetadote",,"Therapy","[u'Acetylcysteine']",,
"Acetaminophen",,"Therapy",,,
"Acetaminophen And Codeine Phosphate",,"Therapy","[u'Acetaminophen; Codeine Phosphate']",,
"Acetaminophen And Hydrocodone Bitartrate",,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']",,
"Acetaminophen And Pentazocine Hydrochloride",,"Therapy","[u'Acetaminophen; Pentazocine Hydrochloride']",,
"Acetaminophen, Aspirin And Caffeine",,"Therapy","[u'Acetaminophen; Aspirin; Caffeine']",,
"Acetaminophen, Aspirin, And Codeine Phosphate",,"Therapy","[u'Acetaminophen; Aspirin; Codeine Phosphate']",,
"Acetaminophen, Caffeine, And Dihydrocodeine Bitartrate",,"Therapy","[u'Acetaminophen; Caffeine; Dihydrocodeine Bitartrate']",,
"Acetasol",,"Therapy","[u'Acetic Acid, Glacial']",,
"Acetasol Hc",,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']",,
"Acetated Ringer'S In Plastic Container",,"Therapy","[u'Calcium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride']",,
"Acetazolamide",,"Therapy",,,
"Acetazolamide Sodium",,"Therapy",,,
"Acetic Acid",,"Therapy","[u'Acetic Acid, Glacial']",,
"Acetic Acid 0.25% In Plastic Container",,"Therapy","[u'Acetic Acid, Glacial']",,
"Acetic Acid 2% In Aqueous Aluminum Acetate",,"Therapy","[u'Acetic Acid, Glacial; Aluminum Acetate']",,
"Acetic Acid W/ Hydrocortisone",,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']",,
"Acetohexamide",,"Therapy",,,
"Acetylcysteine",,"Therapy",,,
"Aches-N-Pain",,"Therapy","[u'Ibuprofen']",,
"Achromycin",,"Therapy","[u'Procaine Hydrochloride; Tetracycline Hydrochloride']",,
"Achromycin V",,"Therapy","[u'Tetracycline Hydrochloride']",,
"Acilac",,"Therapy","[u'Lactulose']",,
"Aciphex",,"Therapy","[u'Rabeprazole Sodium']",,
"Aclovate",,"Therapy","[u'Alclometasone Dipropionate']",,
"Actahist",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Actemra",,"Therapy","[u'Tocilizumab']",,
"Acth",,"Therapy","[u'Corticotropin']",,
"Acthar",,"Therapy","[u'Corticotropin']",,
"Acthar Gel-Synthetic",,"Therapy","[u'Seractide Acetate']",,
"Acthrel",,"Therapy","[u'Corticorelin Ovine Triflutate']",,
"Acticort",,"Therapy","[u'Hydrocortisone']",,
"Actidil",,"Therapy","[u'Triprolidine Hydrochloride']",,
"Actifed",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Actifed W/ Codeine",,"Therapy","[u'Codeine Phosphate; Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Actigall",,"Therapy","[u'Ursodiol']",,
"Actimmune",,"Therapy","[u'Interferon Gamma-1B']",,
"Actin-N",,"Therapy","[u'Nitrofurazone']",,
"Actinex",,"Therapy","[u'Masoprocol']",,
"Actiq",,"Therapy","[u'Fentanyl Citrate']",,
"Actisite",,"Therapy","[u'Tetracycline Hydrochloride']",,
"Activase",,"Therapy","[u'Alteplase']",,
"Activella",,"Therapy","[u'Estradiol; Norethindrone Acetate']",,
"Actonel",,"Therapy","[u'Risedronate Sodium']",,
"Actonel With Calcium (Copackaged)",,"Therapy","[u'Calcium Carbonate; Risedronate Sodium']",,
"Actoplus Met",,"Therapy","[u'Metformin Hydrochloride; Pioglitazone Hydrochloride']",,
"Actoplus Met Xr",,"Therapy","[u'Metformin Hydrochloride; Pioglitazone Hydrochloride']",,
"Actos",,"Therapy","[u'Pioglitazone Hydrochloride']",,
"Actron",,"Therapy","[u'Ketoprofen']",,
"Acular",,"Therapy","[u'Ketorolac Tromethamine']",,
"Acular Ls",,"Therapy","[u'Ketorolac Tromethamine']",,
"Acular Preservative Free",,"Therapy","[u'Ketorolac Tromethamine']",,
"Acutect",,"Therapy","[u'Technetium Tc-99M Apcitide']",,
"Acuvail",,"Therapy","[u'Ketorolac Tromethamine']",,
"Acyclovir",,"Therapy",,,
"Acyclovir And Hydrocortisone",,"Therapy","[u'Acyclovir; Hydrocortisone']",,
"Acyclovir In Sodium Chloride 0.9% Preservative Free",,"Therapy","[u'Acyclovir Sodium']",,
"Acyclovir Sodium",,"Therapy",,,
"Acylanid",,"Therapy","[u'Acetyldigitoxin']",,
"Aczone",,"Therapy","[u'Dapsone']",,
"Adagen",,"Therapy","[u'Pegademase Bovine']",,
"Adalat",,"Therapy","[u'Nifedipine']",,
"Adalat Cc",,"Therapy","[u'Nifedipine']",,
"Adapalene",,"Therapy",,,
"Adcirca",,"Therapy","[u'Tadalafil']",,
"Adderall 10",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall 12.5",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall 15",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall 20",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall 30",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall 5",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall 7.5",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall Xr 10",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall Xr 15",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall Xr 20",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall Xr 25",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall Xr 30",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adderall Xr 5",,"Therapy","[u'Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate']",,
"Adenocard",,"Therapy","[u'Adenosine']",,
"Adenoscan",,"Therapy","[u'Adenosine']",,
"Adenosine",,"Therapy",,,
"Adipex-P",,"Therapy","[u'Phentermine Hydrochloride']",,
"Adphen",,"Therapy","[u'Phendimetrazine Tartrate']",,
"Adrenaclick",,"Therapy","[u'Epinephrine']",,
"Adreview",,"Therapy","[u'Iobenguane Sulfate I-123']",,
"Adriamycin Pfs",,"Therapy","[u'Doxorubicin Hydrochloride']",,
"Adriamycin Rdf",,"Therapy","[u'Doxorubicin Hydrochloride']",,
